x,y
-0.017,4.870
0.000,6.494
0.017,8.118
0.035,11.365
0.069,16.234
0.104,22.728
0.121,25.975
0.138,29.221
0.156,32.468
0.190,38.962
0.225,47.079
0.242,55.195
0.277,64.936
0.311,73.052
0.346,81.170
0.363,86.040
0.398,94.157
0.415,99.027
0.449,107.145
0.484,116.885
0.519,125.002
0.536,129.873
0.570,139.613
0.605,149.353
0.640,160.717
0.674,170.457
0.691,181.821
0.726,188.314
0.743,199.678
0.778,212.665
0.795,219.158
0.830,230.522
0.864,243.509
0.899,256.496
0.933,267.860
0.951,274.353
0.985,285.717
1.020,297.081
1.054,308.444
1.072,314.938
1.106,326.301
1.141,342.535
1.158,350.653
1.175,366.886
1.210,384.743
1.245,400.977
1.279,418.834
1.314,438.315
1.348,456.172
1.366,465.912
1.400,485.393
1.435,506.497
1.487,534.094
1.504,543.834
1.538,563.315
1.573,584.419
1.608,603.899
1.625,613.640
1.625,623.380
1.659,644.484
1.694,665.588
1.711,675.328
1.729,685.068
1.763,706.172
1.780,717.536
1.815,735.393
1.850,756.497
1.884,775.977
1.919,795.458
1.936,805.198
1.953,814.938
1.988,834.419
2.022,853.899
2.057,871.756
2.092,891.237
2.126,912.341
2.143,931.821
2.178,954.549
2.195,965.912
2.230,987.016
2.264,1009.743
2.299,1032.471
2.334,1055.198
2.368,1076.302
2.403,1099.029
2.437,1121.756
2.455,1133.120
2.489,1154.224
2.524,1176.951
2.541,1188.315
2.558,1211.042
2.593,1232.146
2.610,1243.510
2.645,1266.237
2.679,1288.964
2.714,1313.315
2.731,1324.679
2.748,1336.042
2.783,1360.393
2.800,1373.380
2.835,1396.107
2.869,1418.834
2.887,1431.821
2.921,1454.549
2.956,1478.899
2.990,1501.627
3.025,1524.354
3.025,1535.718
3.060,1558.445
3.077,1571.432
3.129,1602.276
3.163,1623.380
3.198,1644.484
3.232,1665.588
3.267,1685.068
3.302,1704.549
3.319,1712.666
3.336,1722.406
3.371,1741.887
3.405,1758.121
3.423,1767.861
3.440,1775.978
3.475,1792.211
3.492,1808.445
3.509,1816.562
3.526,1824.679
3.544,1832.796
3.578,1847.406
3.613,1863.640
3.647,1878.251
3.682,1892.861
3.717,1905.848
3.751,1918.835
3.786,1933.445
3.838,1951.302
3.855,1956.173
3.872,1962.666
3.907,1974.030
3.941,1985.393
3.959,1995.134
3.993,2004.874
4.028,2014.614
4.062,2024.354
4.097,2034.095
4.114,2038.965
4.149,2047.082
4.183,2050.329
4.201,2050.329
4.235,2047.082
4.270,2050.329
4.287,2055.199
4.322,2064.939
4.356,2074.679
4.391,2081.173
4.408,2084.420
4.425,2087.666
4.443,2094.160
4.477,2097.407
4.494,2103.900
4.529,2110.394
4.546,2113.640
4.581,2118.511
4.615,2125.004
4.633,2126.628
4.650,2129.874
4.685,2136.368
4.702,2139.615
4.736,2146.108
4.771,2152.602
4.806,2159.095
4.840,2165.589
4.875,2170.459
4.892,2175.329
4.927,2180.199
4.944,2183.446
4.961,2186.693
4.996,2191.563
5.030,2194.810
5.065,2199.680
5.099,2204.550
5.117,2206.173
5.151,2211.043
5.169,2212.667
5.186,2214.290
5.220,2217.537
5.255,2220.784
5.290,2222.407
5.324,2225.654
5.341,2227.277
5.376,2230.524
5.393,2232.147
5.411,2232.147
5.445,2233.771
5.480,2235.394
5.497,2237.018
5.514,2238.641
5.532,2238.641
5.566,2240.264
5.601,2241.888
5.618,2241.888
5.635,2241.888
5.670,2243.511
5.704,2241.888
5.739,2240.264
5.774,2235.394
5.808,2206.173
5.825,1983.771
5.860,1761.368
5.895,1673.706
5.929,1681.822
5.946,1686.693
5.981,1699.680
6.016,1714.290
6.050,1727.277
6.085,1738.641
6.119,1748.381
6.154,1758.122
6.171,1764.615
6.188,1769.485
6.223,1780.849
6.275,1793.836
6.275,1798.706
6.309,1806.823
6.344,1813.317
6.361,1816.563
6.396,1823.057
6.430,1827.927
6.465,1740.265
6.482,1548.706
6.534,1058.446
6.569,977.278
6.603,969.161
6.638,957.797
6.672,949.681
6.690,948.057
6.707,946.433
6.742,946.433
6.759,944.810
6.776,941.563
6.793,938.316
6.811,933.446
6.863,910.719
6.880,823.057
6.897,701.303
6.914,579.550
6.949,342.537
6.984,297.083
7.001,293.836
7.018,290.589
7.053,287.342
7.087,285.718
7.122,284.095
7.156,284.095
7.191,284.095
7.208,282.471
7.226,282.471
7.260,282.471
7.295,282.471
7.329,282.471
7.347,282.471
7.364,282.471
7.398,282.471
7.433,280.847
7.450,280.847
7.485,280.847
7.519,279.223
7.537,279.223
7.571,279.223
7.606,277.599
7.623,277.599
7.658,275.976
7.675,275.976
7.710,274.352
7.744,272.728
7.761,271.105
7.779,271.105
7.813,269.481
7.848,269.481
7.882,267.857
7.917,264.611
7.952,259.740
7.986,256.493
8.003,254.869
8.021,254.869
8.038,254.869
8.073,253.246
8.107,253.246
8.142,253.246
8.159,253.246
8.194,253.246
8.228,253.246
8.263,253.246
8.297,253.246
8.315,251.623
8.332,251.623
8.366,251.623
8.401,251.623
8.418,251.623
8.436,249.999
8.453,249.999
8.487,248.375
8.522,246.751
8.539,246.751
8.574,245.127
8.608,243.504
8.643,241.880
8.678,240.256
8.712,238.632
8.747,238.632
8.781,237.008
8.816,237.008
8.850,235.384
8.868,235.384
8.902,233.761
8.954,232.138
8.971,230.514
8.989,230.514
9.006,228.890
9.041,225.643
9.075,220.773
9.092,219.149
9.127,217.525
9.162,215.901
9.196,214.277
9.231,212.654
9.248,212.654
9.300,211.031
9.317,211.031
9.352,209.407
9.386,209.407
9.421,207.783
9.455,207.783
9.490,206.159
9.525,206.159
9.542,206.159
9.559,204.535
9.594,202.912
9.611,202.912
9.646,201.288
9.680,201.288
9.697,201.288
9.732,199.664
9.749,199.664
9.767,199.664
9.801,198.040
9.836,198.040
9.853,196.416
9.870,196.416
9.905,196.416
9.957,194.793
9.974,194.793
10.009,194.793
10.026,193.169
10.061,193.169
10.095,191.546
10.112,191.546
10.147,189.922
10.182,189.922
10.216,188.298
10.233,188.298
10.285,186.674
10.303,186.674
10.320,186.674
10.354,185.051
10.389,185.051
10.424,185.051
10.458,183.427
10.475,183.427
10.510,183.427
10.527,183.427
10.562,183.427
10.579,181.803
10.631,181.803
10.648,181.803
10.666,181.803
10.700,181.803
10.735,181.803
10.752,181.803
10.769,181.803
10.804,181.803
10.838,181.803
10.873,181.803
10.908,181.803
10.925,181.803
10.959,181.803
10.977,181.803
11.011,180.179
11.046,180.179
11.080,180.179
11.115,180.179
11.150,178.555
11.184,178.555
11.201,178.555
11.219,176.931
11.253,176.931
11.288,176.931
11.322,175.308
11.374,173.684
11.392,173.684
11.426,172.061
11.461,172.061
11.495,170.437
11.530,170.437
11.564,168.813
11.599,167.189
11.634,167.189
11.668,165.566
11.720,163.942
11.737,163.942
11.755,162.318
11.772,162.318
11.789,160.694
11.824,159.070
11.858,157.447
11.876,155.823
11.910,155.823
11.945,154.199
11.962,152.575
11.979,152.575
12.014,150.952
12.066,147.705
12.083,147.705
12.118,144.459
12.152,142.835
12.187,141.211
12.204,139.587
12.239,137.963
12.273,136.340
12.308,134.716
12.325,131.469
12.360,129.845
12.394,128.221
12.411,124.975
12.446,123.351
12.463,121.727
12.498,118.480
12.532,116.856
12.567,113.610
12.602,110.363
12.619,108.739
12.636,107.115
12.653,105.491
12.688,102.245
12.723,98.998
12.740,97.374
12.792,94.127
12.809,90.880
12.844,87.634
12.878,84.387
12.913,81.140
12.947,77.893
12.965,76.270
12.982,74.646
13.016,71.399
13.034,69.775
13.051,68.151
13.068,68.151
13.086,66.528
13.120,63.281
13.137,61.657
13.172,58.410
13.189,56.786
13.207,55.163
13.241,51.916
13.258,48.669
13.293,45.422
13.328,40.552
13.362,37.305
13.397,35.681
13.414,34.057
13.431,32.434
13.466,29.187
13.500,25.940
13.518,24.316
13.552,22.692
13.587,19.446
13.621,17.822
13.656,16.198
13.691,14.574
13.725,14.574
13.725,12.950
13.742,12.950
13.777,11.327
13.812,11.327
13.846,9.704
13.863,9.704
13.898,9.704
13.933,8.080
13.967,8.080
14.002,8.080
14.036,6.456
14.071,6.456
14.088,6.456
14.105,6.456
14.123,6.456
14.157,6.456
14.192,4.832
14.226,4.832
14.261,4.832
14.278,4.832
14.313,4.832
14.347,3.208
14.382,3.208
14.399,3.208
14.417,3.208
14.451,3.208
14.486,3.208
14.520,3.208
14.555,3.208
14.589,3.208
14.624,3.208
14.641,3.208
14.659,3.208
14.676,3.208
14.693,3.208
14.728,3.208
14.745,3.208
14.762,3.208
14.797,3.208
14.814,3.208
14.866,3.208
14.901,3.208
14.935,3.208
14.970,3.208
15.004,3.208
15.039,3.208
15.073,3.208
15.108,3.208
15.125,3.208
15.143,3.208
15.177,3.208
15.229,3.208
15.246,3.208
15.281,3.208
15.298,3.208
15.315,3.208
15.350,3.208
15.385,3.208
15.419,3.208
15.454,4.832
15.488,4.832
15.523,4.832
15.540,4.832
15.575,4.832
15.592,4.832
15.627,6.456
15.661,6.456
15.678,6.456
15.713,6.456
15.748,8.080
15.765,8.080
15.799,8.080
15.834,8.080
15.869,9.704
15.903,9.704
15.938,9.704
15.955,9.704
15.990,9.704
16.024,11.327
16.059,11.327
16.076,11.327
16.093,11.327
16.111,11.327
16.145,12.950
16.180,12.950
16.214,12.950
16.249,12.950
16.283,14.574
16.318,14.574
16.335,14.574
16.387,14.574
16.404,16.198
16.422,16.198
16.439,16.198
16.474,16.198
16.508,16.198
16.508,17.822
16.525,17.822
16.560,17.822
16.595,17.822
16.629,17.822
16.664,19.446
16.716,19.446
16.733,19.446
16.768,19.446
16.785,21.069
16.819,21.069
16.837,21.069
16.854,21.069
16.889,21.069
16.923,22.693
16.958,22.693
16.975,22.693
17.010,24.317
17.044,24.317
17.061,24.317
17.079,24.317
17.113,25.941
17.148,25.941
17.182,25.941
17.200,27.565
17.234,27.565
17.269,27.565
17.303,29.188
17.338,29.188
17.355,30.812
17.407,30.812
17.424,30.812
17.442,32.435
17.459,32.435
17.494,34.059
17.511,34.059
17.528,34.059
17.563,35.683
17.597,35.683
17.615,37.307
17.649,37.307
17.684,37.307
17.701,38.930
17.736,38.930
17.770,38.930
17.787,38.930
17.822,40.554
17.839,40.554
17.857,40.554
17.891,42.178
17.908,42.178
17.943,42.178
17.978,42.178
18.012,42.178
18.029,43.802
18.064,43.802
18.116,45.426
18.133,45.426
18.168,47.050
18.185,47.050
18.202,48.673
18.237,48.673
18.271,50.297
18.306,51.920
18.341,53.544
18.375,53.544
18.392,55.168
18.427,56.792
18.479,58.415
18.513,58.415
18.548,60.039
18.583,61.663
18.617,61.663
18.634,63.287
18.652,63.287
18.686,64.911
18.721,64.911
18.755,66.534
18.773,68.158
18.825,69.782
18.842,69.782
18.859,71.406
18.894,71.406
18.928,73.029
18.963,74.653
18.980,74.653
18.997,76.277
19.032,76.277
19.067,77.900
19.101,79.524
19.153,81.148
19.170,81.148
19.205,82.772
19.222,82.772
19.239,82.772
19.274,84.396
19.291,84.396
19.309,86.019
19.343,86.019
19.378,87.643
19.412,87.643
19.464,89.267
19.481,89.267
19.516,89.267
19.533,89.267
19.551,90.891
19.585,90.891
19.620,90.891
19.654,90.891
19.689,90.891
19.706,90.891
19.741,90.891
19.758,90.891
19.775,90.891
19.793,92.514
19.827,92.514
19.844,92.514
19.862,92.514
19.896,92.514
