Outer diameter;Inner diameter;Specimen properties;Specimen height;CFV      ;1st Fmax ;L at 1st Fmax;W at 1st Fmax;Fmax.    ;L at Fmax;W at Fmax;F{lo End};L{lo End};W{lo End};F1      ;F2      ;Gradient   
10,00 mm      ;8,00 mm       ;                 ;37,67 mm       ;1375,17 N;1490,64 N;7,28 mm      ;5,85 J       ;1912,62 N;14,08 mm ;15,04 J  ;1154,50 N;15,00 mm ;16,38 J  ;96,12 N ;313,68 N;217,55 N/mm
10,00 mm      ;8,00 mm       ;                 ;115,57 mm      ;1202,83 N;2,31 N   ;0,13 mm      ;0,00 J       ;1777,81 N;10,11 mm ;8,35 J   ;114,64 N ;20,00 mm ;15,20 J  ;3,94 N  ;34,83 N ;30,89 N/mm 
10,00 mm      ;8,00 mm       ;                 ;113,07 mm      ;1450,13 N;1648,61 N;8,06 mm      ;6,79 J       ;1648,61 N;8,06 mm  ;6,79 J   ;81,61 N  ;20,00 mm ;12,01 J  ;39,79 N ;204,42 N;164,63 N/mm
10,00 mm      ;8,00 mm       ;                 ;116,00 mm      ;610,74 N ;2086,27 N;10,77 mm     ;8,17 J       ;2086,27 N;10,77 mm ;8,17 J   ;73,49 N  ;20,00 mm ;12,15 J  ;4,04 N  ;4,78 N  ;0,74 N/mm  
10,00 mm      ;8,00 mm       ;                 ;109,83 mm      ;309,42 N ;2259,53 N;5,36 mm      ;6,74 J       ;2259,53 N;5,36 mm  ;6,74 J   ;77,81 N  ;20,00 mm ;9,95 J   ;340,47 N;900,30 N;559,83 N/mm
10,00 mm      ;8,00 mm       ;                 ;109,87 mm      ;256,76 N ;1942,01 N;5,43 mm      ;6,04 J       ;1942,01 N;5,43 mm  ;6,04 J   ;58,96 N  ;20,00 mm ;7,82 J   ;302,45 N;812,05 N;509,60 N/mm
10,00 mm      ;8,00 mm       ;                 ;111,27 mm      ;1785,89 N;2242,06 N;5,68 mm      ;7,22 J       ;2242,06 N;5,68 mm  ;7,22 J   ;84,42 N  ;20,00 mm ;10,62 J  ;287,91 N;837,95 N;550,05 N/mm
10,00 mm      ;8,00 mm       ;                 ;109,50 mm      ;1586,60 N;2257,33 N;6,14 mm      ;8,31 J       ;2257,33 N;6,14 mm  ;8,31 J   ;59,91 N  ;20,00 mm ;11,11 J  ;316,40 N;932,67 N;616,28 N/mm
10,00 mm      ;8,00 mm       ;                 ;112,10 mm      ;2146,72 N;2177,30 N;5,81 mm      ;7,19 J       ;2177,30 N;5,81 mm  ;7,19 J   ;256,96 N ;20,00 mm ;15,25 J  ;237,60 N;789,80 N;552,21 N/mm
10,00 mm      ;8,00 mm       ;                 ;109,90 mm      ;422,74 N ;1847,94 N;4,79 mm      ;4,86 J       ;1847,94 N;4,79 mm  ;4,86 J   ;30,45 N  ;20,00 mm ;7,23 J   ;360,42 N;872,42 N;512,00 N/mm
10,00 mm      ;8,00 mm       ;                 ;111,17 mm      ;258,79 N ;1770,37 N;5,73 mm      ;5,93 J       ;1770,37 N;5,73 mm  ;5,93 J   ;59,83 N  ;20,00 mm ;7,81 J   ;289,39 N;725,63 N;436,24 N/mm
10,00 mm      ;8,00 mm       ;                 ;110,00 mm      ;467,81 N ;2162,76 N;5,75 mm      ;7,07 J       ;2162,76 N;5,75 mm  ;7,07 J   ;25,16 N  ;20,00 mm ;8,55 J   ;288,69 N;828,64 N;539,95 N/mm
10,00 mm      ;8,00 mm       ;                 ;109,97 mm      ;313,98 N ;2110,36 N;5,94 mm      ;6,93 J       ;2110,36 N;5,94 mm  ;6,93 J   ;61,61 N  ;20,00 mm ;8,94 J   ;224,07 N;644,56 N;420,49 N/mm
10,00 mm      ;8,00 mm       ;                 ;109,63 mm      ;172,26 N ;1951,65 N;5,63 mm      ;6,67 J       ;1951,65 N;5,63 mm  ;6,67 J   ;30,73 N  ;20,00 mm ;8,36 J   ;368,39 N;936,26 N;567,87 N/mm
10,00 mm      ;8,00 mm       ;                 ;111,70 mm      ;2260,50 N;2267,01 N;6,33 mm      ;6,16 J       ;2267,01 N;6,33 mm  ;6,16 J   ;111,12 N ;20,00 mm ;9,55 J   ;42,29 N ;218,73 N;176,44 N/mm
10,00 mm      ;8,00 mm       ;                 ;110,33 mm      ;1531,83 N;1923,04 N;5,64 mm      ;5,96 J       ;1923,04 N;5,64 mm  ;5,96 J   ;80,34 N  ;20,00 mm ;9,99 J   ;239,23 N;706,60 N;467,37 N/mm
10,00 mm      ;8,00 mm       ;                 ;112,47 mm      ;2021,40 N;2212,04 N;7,62 mm      ;7,53 J       ;2212,04 N;7,62 mm  ;7,53 J   ;47,94 N  ;20,00 mm ;11,60 J  ;33,78 N ;102,02 N;68,24 N/mm 
10,00 mm      ;8,00 mm       ;                 ;111,80 mm      ;1715,44 N;2009,09 N;5,27 mm      ;5,38 J       ;2009,09 N;5,27 mm  ;5,38 J   ;108,88 N ;20,00 mm ;13,47 J  ;273,24 N;660,51 N;387,27 N/mm
10,00 mm      ;8,00 mm       ;                 ;110,03 mm      ;1285,73 N;1821,19 N;5,18 mm      ;4,91 J       ;1821,19 N;5,18 mm  ;4,91 J   ;19,70 N  ;20,00 mm ;10,39 J  ;258,28 N;701,94 N;443,66 N/mm
10,00 mm      ;8,00 mm       ;                 ;108,90 mm      ;383,72 N ;2047,70 N;5,12 mm      ;6,21 J       ;2047,70 N;5,12 mm  ;6,21 J   ;26,57 N  ;20,00 mm ;8,15 J   ;423,57 N;998,33 N;574,76 N/mm
